"Phylum","Class","Organism_name","Organism","Number_of_rpoN_genes","Total_organisms_per_class","Class_count_organims_with_rpoN"
"Pseudomonadota","Gammaproteobacteria","Paraglaciecola psychrophila 170 (Glaciecola psychrophila 170)","gps",2,279,279
"Pseudomonadota","Gammaproteobacteria","Thalassolituus oleivorans MIL-1","tol",1,279,279
"Pseudomonadota","Gammaproteobacteria","Oleispira antarctica RB-8","oai",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thiocapsa sp. M50B4","thim",1,279,279
"Pseudomonadota","Gammaproteobacteria","Ahniella affigens D13","xba",1,279,279
"Pseudomonadota","Gammaproteobacteria","Dickeya fangzhongdai ND14b","ced",1,279,279
"Pseudomonadota","Gammaproteobacteria","Nitrosococcus halophilus Nc 4","nhl",1,279,279
"Pseudomonadota","Gammaproteobacteria","Halotalea alkalilenta IHB B 13600","haa",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pseudoxanthomonas mexicana GTZY","pmex",2,279,279
"Pseudomonadota","Gammaproteobacteria","Alkalilimnicola ehrlichii MLHE-1","aeh",1,279,279
"Pseudomonadota","Gammaproteobacteria","Tolumonas auensis DSM 9187","tau",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thiosulfatimonas sediminis aks77","tse",1,279,279
"Pseudomonadota","Gammaproteobacteria","Xylella fastidiosa Hib4","xfh",1,279,279
"Pseudomonadota","Gammaproteobacteria","Rodentibacter caecimuris G1","rhey",0,279,279
"Pseudomonadota","Gammaproteobacteria","Methylotuvimicrobium buryatense 5GB1C","mbur",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thiomicrospira sp. S5","thio",1,279,279
"Pseudomonadota","Gammaproteobacteria","Sodalis praecaptivus HS1","sod",1,279,279
"Pseudomonadota","Gammaproteobacteria","Shewanella amazonensis SB2B","saz",1,279,279
"Pseudomonadota","Gammaproteobacteria","Halopseudomonas pelagia Kongs-67","hpeg",1,279,279
"Pseudomonadota","Gammaproteobacteria","Marinobacterium aestuarii ST58-10","mars",1,279,279
"Pseudomonadota","Gammaproteobacteria","Buchnera aphidicola USDA, endosymbiont of Myzus persicae (green peach aphid)","bapu",0,279,279
"Pseudomonadota","Gammaproteobacteria","Lonsdalea britannica 477","lbq",1,279,279
"Pseudomonadota","Gammaproteobacteria","Flagellatimonas centrodinii R2A-3","fce",2,279,279
"Pseudomonadota","Gammaproteobacteria","Limnobaculum parvum HYN0051","lpv",1,279,279
"Pseudomonadota","Gammaproteobacteria","Kineobactrum salinum M2","kim",0,279,279
"Pseudomonadota","Gammaproteobacteria","Rheinheimera sp. D18","rhh",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thiohalobacter thiocyanaticus FOKN1","ttc",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pragia fontium 24613","pfq",1,279,279
"Pseudomonadota","Gammaproteobacteria","Zophobihabitans entericus IPMB12","orb",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Ishikawaella capsulata Mpkobe, endosymbiont of Megacopta punctatissima","icp",0,279,279
"Pseudomonadota","Gammaproteobacteria","Hydrocarboniclastica marina soil36-7","hmi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Aequoribacter fuscus IMCC3088","afus",1,279,279
"Pseudomonadota","Gammaproteobacteria","Aliivibrio fischeri ES114 (Vibrio fischeri ES114)","vfi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Raoultella ornithinolytica B6","ror",1,279,279
"Pseudomonadota","Gammaproteobacteria","Klebsiella aerogenes KCTC 2190 (Enterobacter aerogenes KCTC 2190)","eae",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thioflavicoccus mobilis 8321","tmb",1,279,279
"Pseudomonadota","Gammaproteobacteria","Scandinavium goeteborgense CCUG 66741","sgoe",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thioploca ingrica","tig",1,279,279
"Pseudomonadota","Gammaproteobacteria","Aerosticca soli Dysh456","rbd",1,279,279
"Pseudomonadota","Gammaproteobacteria","Saccharobesus litoralis CCB-QB4","cate",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thermochromatium tepidum ATCC 43061","ttp",1,279,279
"Pseudomonadota","Gammaproteobacteria","Saccharophagus degradans 2-40","sde",1,279,279
"Pseudomonadota","Gammaproteobacteria","Vreelandella titanicae SOB56","htt",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Riesia pediculicola USDA, endosymbiont of Pediculus humanus","rip",0,279,279
"Pseudomonadota","Gammaproteobacteria","Aeromonas hydrophila ML09-119","ahy",1,279,279
"Pseudomonadota","Gammaproteobacteria","Musicola paradisiaca Ech703","dda",1,279,279
"Pseudomonadota","Gammaproteobacteria","Marinobacter sp. CP1","mari",1,279,279
"Pseudomonadota","Gammaproteobacteria","Vibrio alginolyticus NBRC 15630 = ATCC 17749","vag",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Methylospira mobilis Shm1","mmob",1,279,279
"Pseudomonadota","Gammaproteobacteria","Serratia fonticola GS2","sfg",2,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Gullanella endobia GEFVIR, endosymbiont of Ferrisia virgata (striped mealybug)","ged",0,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Vesicomyosocius okutanii HA, endosymbiont of Calyptogena okutanii (deep-sea clam)","vok",0,279,279
"Pseudomonadota","Gammaproteobacteria","Litorilituus sediminis JCM 17549","lsd",1,279,279
"Pseudomonadota","Gammaproteobacteria","Venatoribacter cucullus ASxL5 (Venatorbacter cucullus xL5)","vcw",1,279,279
"Pseudomonadota","Gammaproteobacteria","Enterobacter cloacae subsp. cloacae ATCC 13047","enc",1,279,279
"Pseudomonadota","Gammaproteobacteria","Neptunomonas japonica JAMM 1380","njp",1,279,279
"Pseudomonadota","Gammaproteobacteria","Coxiella burnetii Dugway 5J108-111","cbd",0,279,279
"Pseudomonadota","Gammaproteobacteria","Ferrimonas balearica DSM 9799","fbl",1,279,279
"Pseudomonadota","Gammaproteobacteria","Symbiopectobacterium purcellii SyEd1","sym",1,279,279
"Pseudomonadota","Gammaproteobacteria","Granulosicoccus antarcticus IMCC3135","gai",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thiosulfativibrio zosterae AkT22","tzo",1,279,279
"Pseudomonadota","Gammaproteobacteria","Gibbsiella quercinecans FRB97","gqu",1,279,279
"Pseudomonadota","Gammaproteobacteria","Moellerella wisconsensis W65","mwi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Aquicella siphonis SGT-108","asip",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Annandia pinicola Ad13-065","apin",0,279,279
"Pseudomonadota","Gammaproteobacteria","Nitrincola iocasae KXZD1103","nik",1,279,279
"Pseudomonadota","Gammaproteobacteria","Simiduia agarivorans SA1 = DSM 21679","saga",2,279,279
"Pseudomonadota","Gammaproteobacteria","Pseudocitrobacter corydidari G163CM","psgc",1,279,279
"Pseudomonadota","Gammaproteobacteria","Enterobacteriaceae bacterium ENNIH2","ebc",1,279,279
"Pseudomonadota","Gammaproteobacteria","Idiomarina loihiensis L2TR","ilo",1,279,279
"Pseudomonadota","Gammaproteobacteria","Psychrobacter sp. P11G5","psyg",1,279,279
"Pseudomonadota","Gammaproteobacteria","Cellvibrio sp. KY-GH-1","ceg",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Schneideria nysicola NT","sny",0,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Ruthia magnifica Cm, endosymbiont of Calyptogena magnifica (hydrothermal vent clam)","rma",0,279,279
"Pseudomonadota","Gammaproteobacteria","Atlantibacter hermannii NCTC12129","ahn",2,279,279
"Pseudomonadota","Gammaproteobacteria","Thiolapillus brandeum Hiromi 1","tbn",1,279,279
"Pseudomonadota","Gammaproteobacteria","Acinetobacter guillouiae NBRC 110550","agu",1,279,279
"Pseudomonadota","Gammaproteobacteria","Halothiobacillus diazotrophicus LS2 (Halothiobacillus sp. LS2)","haz",1,279,279
"Pseudomonadota","Gammaproteobacteria","Photorhabdus laumondii subsp. laumondii TTO1 (Photorhabdus luminescens subsp. laumondii TTO1)","plu",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Carsonella ruddii DC, endosymbiont of Diaphorina citri (Asian citrus psyllid)","cri",0,279,279
"Pseudomonadota","Gammaproteobacteria","Cycloclasticus zancles 78-ME","cza",4,279,279
"Pseudomonadota","Gammaproteobacteria","Thiopseudomonas alkaliphila B4199 (Oblitimonas alkaliphila B4199)","pbb",1,279,279
"Pseudomonadota","Gammaproteobacteria","Moraxella osloensis CCUG 350","mos",1,279,279
"Pseudomonadota","Gammaproteobacteria","Escherichia coli K-12 MG1655","eco",1,279,279
"Pseudomonadota","Gammaproteobacteria","Paraglaciecola sp. T6c","pat",1,279,279
"Pseudomonadota","Gammaproteobacteria","Tatumella citrea DSM 13699","tci",1,279,279
"Pseudomonadota","Gammaproteobacteria","Cedecea neteri SSMD04","cnt",1,279,279
"Pseudomonadota","Gammaproteobacteria","Psychrosphaera ytuae MTZ26","psym",1,279,279
"Pseudomonadota","Gammaproteobacteria","Legionella fallonii LLAP-10","lfa",1,279,279
"Pseudomonadota","Gammaproteobacteria","Grimontia hollisae ATCC 33564","gho",1,279,279
"Pseudomonadota","Gammaproteobacteria","Hydrogenovibrio thermophilus JR-2","htr",1,279,279
"Pseudomonadota","Gammaproteobacteria","Kosakonia radicincitans GXGL-4A","krd",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Hoaglandella endobia HETPER, endosymbiont of Trionymus perrisii","hed",0,279,279
"Pseudomonadota","Gammaproteobacteria","Rouxiella badensis subsp. acadiensis C173","rbad",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pluralibacter gergoviae FB2","pge",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Tachikawaea gelatinosa UwTKB","sbw",0,279,279
"Pseudomonadota","Gammaproteobacteria","Bisgaardia hudsonensis M327/99/2","bhud",0,279,279
"Pseudomonadota","Gammaproteobacteria","Aquirhabdus parva HYN0046","mbah",1,279,279
"Pseudomonadota","Gammaproteobacteria","Stenotrophomonas maltophilia D457","smz",2,279,279
"Pseudomonadota","Gammaproteobacteria","Methylobacter sp. S3L5C","mesl",1,279,279
"Pseudomonadota","Gammaproteobacteria","Histophilus somni 2336","hsm",0,279,279
"Pseudomonadota","Gammaproteobacteria","Methylogaea oryzae E10","moz",1,279,279
"Pseudomonadota","Gammaproteobacteria","Haemophilus pittmaniae NCTC13334","hpit",0,279,279
"Pseudomonadota","Gammaproteobacteria","Colwellia psychrerythraea 34H","cps",1,279,279
"Pseudomonadota","Gammaproteobacteria","Cobetia marina JCM 21022","cmai",1,279,279
"Pseudomonadota","Gammaproteobacteria","Paraneptunicella aestuarii NBU2194","paew",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Portiera aleyrodidarum AF-CAI, endosymbiont of Aleurodicus floccissimus AFAW-CAI","pli",0,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Hamiltonella defensa 5AT, endosymbiont of Acyrthosiphon pisum","hde",0,279,279
"Pseudomonadota","Gammaproteobacteria","Entomomonas moraniae QZS01","emo",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Doolittlea endobia DEMHIR, endosymbiont of Maconellicoccus hirsutus (hibiscus mealybug)","den",0,279,279
"Pseudomonadota","Gammaproteobacteria","Azotobacter chroococcum NCIMB 8003","acx",1,279,279
"Pseudomonadota","Gammaproteobacteria","Lysobacter gummosus 3.2.11","lgu",1,279,279
"Pseudomonadota","Gammaproteobacteria","Kangiella koreensis DSM 16069","kko",1,279,279
"Pseudomonadota","Gammaproteobacteria","Providencia rettgeri RB151","prg",1,279,279
"Pseudomonadota","Gammaproteobacteria","Photobacterium profundum SS9","ppr",1,279,279
"Pseudomonadota","Gammaproteobacteria","Thiomicrorhabdus xiamenensis G2","txa",1,279,279
"Pseudomonadota","Gammaproteobacteria","Arsenophonus nasoniae FIN","ans",1,279,279
"Pseudomonadota","Gammaproteobacteria","Mannheimia haemolytica 89010807N","mhaq",0,279,279
"Pseudomonadota","Gammaproteobacteria","Endosymbiont of Sipalinus gigas","eof",0,279,279
"Pseudomonadota","Gammaproteobacteria","Halorhodospira halophila SL1","hha",1,279,279
"Pseudomonadota","Gammaproteobacteria","Aquisalimonas sp. 2447","nax",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Johnevansia muelleri","eme",0,279,279
"Pseudomonadota","Gammaproteobacteria","Luteimonas chenhongjianii 100111","lum",2,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Profftia tarda PROFFT","ptf",0,279,279
"Pseudomonadota","Gammaproteobacteria","Marinagarivorans cellulosilyticus GE09","marq",1,279,279
"Pseudomonadota","Gammaproteobacteria","Glaesserella sp. 15-184","gle",0,279,279
"Pseudomonadota","Gammaproteobacteria","Marichromatium purpuratum 984","mpur",1,279,279
"Pseudomonadota","Gammaproteobacteria","Rhodanobacter denitrificans 2APBS1","rhd",1,279,279
"Pseudomonadota","Gammaproteobacteria","Ewingella americana B6-1","eame",1,279,279
"Pseudomonadota","Gammaproteobacteria","Cognaticolwellia beringensis NB097-1 (Colwellia beringensis NB097-1)","cber",1,279,279
"Pseudomonadota","Gammaproteobacteria","Paraphotobacterium marinum NSCS20N07D","pmai",2,279,279
"Pseudomonadota","Gammaproteobacteria","Mannheimia succiniciproducens MBEL55E","msu",0,279,279
"Pseudomonadota","Gammaproteobacteria","Yokenella regensburgei W13","yre",1,279,279
"Pseudomonadota","Gammaproteobacteria","Acidiferrobacter sp. SPIII_3","acii",1,279,279
"Pseudomonadota","Gammaproteobacteria","Zymobacter palmae IAM14233","zpl",1,279,279
"Pseudomonadota","Gammaproteobacteria","Phytobacter sp. MRY16-398 (Metakosakonia sp. MRY16-398)","mety",1,279,279
"Pseudomonadota","Gammaproteobacteria","Aggregatibacter aphrophilus W10433","aaz",0,279,279
"Pseudomonadota","Gammaproteobacteria","Woeseia oceani XK5","woc",1,279,279
"Pseudomonadota","Gammaproteobacteria","Bermanella marisrubri RED65","bmar",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Nitrosoglobus terrae TAO100","ntt",1,279,279
"Pseudomonadota","Gammaproteobacteria","Vibrio cholerae O1 O395","vco",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pseudomonas putida KT2440","ppu",1,279,279
"Pseudomonadota","Gammaproteobacteria","Bibersteinia trehalosi USDA-ARS-USMARC-189","btrh",0,279,279
"Pseudomonadota","Gammaproteobacteria","Sulfurifustis variabilis skN76","sva",1,279,279
"Pseudomonadota","Gammaproteobacteria","Legionella micdadei ATCC 33218 (Tatlockia micdadei ATCC 33218)","tmc",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pseudolysobacter antarcticus AQ6-296","xbc",1,279,279
"Pseudomonadota","Gammaproteobacteria","Wigglesworthia glossinidia, endosymbiont of Glossina morsitans morsitans (Yale colony)","wgl",0,279,279
"Pseudomonadota","Gammaproteobacteria","Salmonella enterica subsp. enterica serovar Typhimurium LT2 (Salmonella typhimurium LT2)","stm",1,279,279
"Pseudomonadota","Gammaproteobacteria","Saliniradius amylolyticus HMF8227","salh",1,279,279
"Pseudomonadota","Gammaproteobacteria","Dokdonella koreensis DS-123","dko",1,279,279
"Pseudomonadota","Gammaproteobacteria","Methylomagnum ishizawai RS11D-Pr","misz",1,279,279
"Pseudomonadota","Gammaproteobacteria","Yersinia massiliensis GTA","yma",1,279,279
"Pseudomonadota","Gammaproteobacteria","Methylocaldum marinum S8","mmai",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pseudomonas aeruginosa PAO1","pae",0,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Purcelliella pentastirinorum OLIH","ppet",0,279,279
"Pseudomonadota","Gammaproteobacteria","Gynuella sunshinyii YC6258","gsn",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pantoea sp. At-9b","pao",1,279,279
"Pseudomonadota","Gammaproteobacteria","Pectobacterium parmentieri SCC3193 (Pectobacterium sp. SCC3193)","pec",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Mikella endobia","cmik",0,279,279
"Pseudomonadota","Gammaproteobacteria","Kluyvera ascorbata TP1631","kas",1,279,279
"Pseudomonadota","Gammaproteobacteria","Guyparkeria halophila sp2","ghl",1,279,279
"Pseudomonadota","Gammaproteobacteria","Jejubacter calystegiae KSNA2","izh",1,279,279
"Pseudomonadota","Gammaproteobacteria","Psychromonas ingrahamii 37","pin",1,279,279
"Pseudomonadota","Gammaproteobacteria","Otariodibacter oris Baika1","ooi",0,279,279
"Pseudomonadota","Gammaproteobacteria","Oceanicoccus sagamiensis NBRC 107125","osg",1,279,279
"Pseudomonadota","Gammaproteobacteria","Citrobacter sp. CRE-46 AR_0157","cie",1,279,279
"Pseudomonadota","Gammaproteobacteria","Reinekea forsetii Hel1_31_D35","rfo",1,279,279
"Pseudomonadota","Gammaproteobacteria","Gilliamella apicola wkB1","gap",1,279,279
"Pseudomonadota","Gammaproteobacteria","Frischella perrara PEB0191","fpp",1,279,279
"Pseudomonadota","Gammaproteobacteria","Erwinia billingiae Eb661","ebi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Lelliottia amnigena ZB04","laz",1,279,279
"Pseudomonadota","Gammaproteobacteria","Hafnia alvei FB1","hav",1,279,279
"Pseudomonadota","Gammaproteobacteria","Ectothiorhodospira sp. BSL-9","ebs",1,279,279
"Pseudomonadota","Gammaproteobacteria","Glaciecola sp. 4H-3-7+YE-5","gag",1,279,279
"Pseudomonadota","Gammaproteobacteria","Zobellella denitrificans F13-1","zdf",1,279,279
"Pseudomonadota","Gammaproteobacteria","Limnobaculum zhutongyuii CF-458","prag",1,279,279
"Pseudomonadota","Gammaproteobacteria","Kushneria marisflavi SW32","kma",1,279,279
"Pseudomonadota","Gammaproteobacteria","Vibrio parahaemolyticus RIMD 2210633","vpa",1,279,279
"Pseudomonadota","Gammaproteobacteria","Buttiauxella sp. 3AFRM03","buf",1,279,279
"Pseudomonadota","Gammaproteobacteria","Candidatus Rickettsiella viridis Ap-RA04, endosymbiont of Acyrthosiphon pisum","rvi",0,279,279
"Pseudomonadota","Gammaproteobacteria","Allofrancisella frigidaquae SYSU 10HL1970","afri",0,279,279
"Pseudomonadota","Gammaproteobacteria","Immundisolibacter cernigliae TR3.2 (Gammaproteobacteria bacterium TR3.2)","gbi",1,279,279
"Pseudomonadota","Gammaproteobacteria","Caldichromatium japonicum No.7","cjap",1,279,279
"Pseudomonadota","Gammaproteobacteria","Methylococcus geothermalis IM1","metu",1,279,279
